id,Grupo,Subgrupo,Formaci,Miembro,Edad,Edad_Ma,Sigla,Litolog,Amb_Sed,Clasificar
"1",Neuquén,Río Limay,Candeleros,,Cretácico superior cenomaniano,,Ks-ca,"Conglomerados, areniscas, fangolitas",Fluvial,Formación Candeleros
"2",Neuquén,Río Limay,Huincul,,Cretácico superior cenomaniana,,Ks-hu,"Conglomerados, areniscas, fangolitas",Continental,Formación Huincul
"1",Neuquén,Río Limay,Candeleros,,Cretácico superior cenomaniano,,Ks-ca,"Conglomerados, areniscas, fangolitas",Fluvial,Formación Candeleros
"1",Neuquén,Río Limay,Candeleros,,Cretácico superior cenomaniano,,Ks-ca,"Conglomerados, areniscas, fangolitas",Fluvial,Formación Candeleros
"1",Neuquén,Río Limay,Candeleros,,Cretácico superior cenomaniano,,Ks-ca,"Conglomerados, areniscas, fangolitas",Fluvial,Formación Candeleros
"1",Neuquén,Río Limay,Candeleros,,Cretácico superior cenomaniano,,Ks-ca,"Conglomerados, areniscas, fangolitas",Fluvial,Formación Candeleros
"1",Neuquén,Río Limay,Candeleros,,Cretácico superior cenomaniano,,Ks-ca,"Conglomerados, areniscas, fangolitas",Fluvial,Formación Candeleros
"1",Neuquén,Río Limay,Candeleros,,Cretácico superior cenomaniano,,Ks-ca,"Conglomerados, areniscas, fangolitas",Fluvial,Formación Candeleros
"2",Neuquén,Río Limay,Huincul,,Cretácico superior cenomaniana,,Ks-hu,"Conglomerados, areniscas, fangolitas",Continental,Formación Huincul
"2",Neuquén,Río Limay,Huincul,,Cretácico superior cenomaniana,,Ks-hu,"Conglomerados, areniscas, fangolitas",Continental,Formación Huincul
"2",Neuquén,Río Limay,Huincul,,Cretácico superior cenomaniana,,Ks-hu,"Conglomerados, areniscas, fangolitas",Continental,Formación Huincul
"2",Neuquén,Río Limay,Huincul,,Cretácico superior cenomaniana,,Ks-hu,"Conglomerados, areniscas, fangolitas",Continental,Formación Huincul
"2",Neuquén,Río Limay,Huincul,,Cretácico superior cenomaniana,,Ks-hu,"Conglomerados, areniscas, fangolitas",Continental,Formación Huincul
"3",Depósitos aluviales actuales y abanicos recientes,,,,Cuaternaria holocena,,Qh-da,"Gravas, arenas, limos",Fluvial,Depósitos aluviales actuales y abanicos recientes
"18",Basalto Huantraico a,,,,Neógena miocena,,Nm-bh,"Basaltos, andesitas, aglomerados volcánicos",Volcánico,Basalto Huantraico a
"1",Neuquén,Río Limay,Candeleros,,Cretácico superior cenomaniano,,Ks-ca,"Conglomerados, areniscas, fangolitas",Fluvial,Formación Candeleros
"7",Neuquén,Río Limay,Cerro Lisandro,,Cretácico superior turoniano,,Ks-cl,"Fangolitas, areniscas",Continental,Formación Cerro Lisandro
"2",Neuquén,Río Limay,Huincul,,Cretácico superior cenomaniana,,Ks-hu,"Conglomerados, areniscas, fangolitas",Continental,Formación Huincul
"5",Mendoza,,Agrio,Pilmatue,"Cretácico Inferior Valanginiano superior Hauteriviano inferior
",,Ki-p,"Pelitas, calizas, coquinas",Marino,Miembro Pilmatu
"2",Neuquén,Río Limay,Huincul,,Cretácico superior cenomaniana,,Ks-hu,"Conglomerados, areniscas, fangolitas",Continental,Formación Huincul
"2",Neuquén,Río Limay,Huincul,,Cretácico superior cenomaniana,,Ks-hu,"Conglomerados, areniscas, fangolitas",Continental,Formación Huincul
"15",Basalto Cerro Cabras,,,,Cuaternaria Pleistocena,,Qpl-bc,Basaltos olivinicos,Volcánico,Basalto Cerro Cabras
"2",Neuquén,Río Limay,Huincul,,Cretácico superior cenomaniana,,Ks-hu,"Conglomerados, areniscas, fangolitas",Continental,Formación Huincul
"1",Neuquén,Río Limay,Candeleros,,Cretácico superior cenomaniano,,Ks-ca,"Conglomerados, areniscas, fangolitas",Fluvial,Formación Candeleros
"17",Bajada del Agrio,,Rayoso,,Cretácica inferior aptiana albiana,,Ki-ra,"Conglomerados, areniscas, limonitas, arcilitas, fangolitas, yeso",Contineltal,Formación Rayoso
"2",Neuquén,Río Limay,Huincul,,Cretácico superior cenomaniana,,Ks-hu,"Conglomerados, areniscas, fangolitas",Continental,Formación Huincul
"7",Neuquén,Río Limay,Cerro Lisandro,,Cretácico superior turoniano,,Ks-cl,"Fangolitas, areniscas",Continental,Formación Cerro Lisandro
"2",Neuquén,Río Limay,Huincul,,Cretácico superior cenomaniana,,Ks-hu,"Conglomerados, areniscas, fangolitas",Continental,Formación Huincul
"11",Depósitos coluviales,,,,Cuatenaria holocena,,Qh-dc,"Gravas, arenas, limos",Fluvial,Depósitos coluviales
"1",Neuquén,Río Limay,Candeleros,,Cretácico superior cenomaniano,,Ks-ca,"Conglomerados, areniscas, fangolitas",Fluvial,Formación Candeleros
"2",Neuquén,Río Limay,Huincul,,Cretácico superior cenomaniana,,Ks-hu,"Conglomerados, areniscas, fangolitas",Continental,Formación Huincul
"2",Neuquén,Río Limay,Huincul,,Cretácico superior cenomaniana,,Ks-hu,"Conglomerados, areniscas, fangolitas",Continental,Formación Huincul
"4",Mendoza,,Agrio,Agua de la Mula,Cretácico inferior Hauteriviano superior Barremiano inferior,,Ki-am,"Pelitas, calizas, coquinas",Marino,Miembro Agua de la mula
"5",Mendoza,,Agrio,Pilmatue,"Cretácico Inferior Valanginiano superior Hauteriviano inferior
",,Ki-p,"Pelitas, calizas, coquinas",Marino,Miembro Pilmatu
"4",Mendoza,,Agrio,Agua de la Mula,Cretácico inferior Hauteriviano superior Barremiano inferior,,Ki-am,"Pelitas, calizas, coquinas",Marino,Miembro Agua de la mula
"4",Mendoza,,Agrio,Agua de la Mula,Cretácico inferior Hauteriviano superior Barremiano inferior,,Ki-am,"Pelitas, calizas, coquinas",Marino,Miembro Agua de la mula
"11",Depósitos coluviales,,,,Cuatenaria holocena,,Qh-dc,"Gravas, arenas, limos",Fluvial,Depósitos coluviales
"7",Neuquén,Río Limay,Cerro Lisandro,,Cretácico superior turoniano,,Ks-cl,"Fangolitas, areniscas",Continental,Formación Cerro Lisandro
"11",Depósitos coluviales,,,,Cuatenaria holocena,,Qh-dc,"Gravas, arenas, limos",Fluvial,Depósitos coluviales
"11",Depósitos coluviales,,,,Cuatenaria holocena,,Qh-dc,"Gravas, arenas, limos",Fluvial,Depósitos coluviales
"2",Neuquén,Río Limay,Huincul,,Cretácico superior cenomaniana,,Ks-hu,"Conglomerados, areniscas, fangolitas",Continental,Formación Huincul
"7",Neuquén,Río Limay,Cerro Lisandro,,Cretácico superior turoniano,,Ks-cl,"Fangolitas, areniscas",Continental,Formación Cerro Lisandro
"7",Neuquén,Río Limay,Cerro Lisandro,,Cretácico superior turoniano,,Ks-cl,"Fangolitas, areniscas",Continental,Formación Cerro Lisandro
"7",Neuquén,Río Limay,Cerro Lisandro,,Cretácico superior turoniano,,Ks-cl,"Fangolitas, areniscas",Continental,Formación Cerro Lisandro
